,album,duration,explicit,track_number,trackid
80,4E61vCQ3Ty0er5FmJF68tQ,194321,False,11,2mVntwBuHUIxkZSS7hMi2C
81,4E61vCQ3Ty0er5FmJF68tQ,281167,False,12,1gqWD3ExMLOdMm3IQRD5NE
82,4E61vCQ3Ty0er5FmJF68tQ,234499,False,13,0O3EiwrS3rDax6q7Q3cn7u
83,4E61vCQ3Ty0er5FmJF68tQ,278267,False,14,2eJpjU4wltu6DQ3CASRHyO
84,6qRpXui3PWubskblkUNUls,186649,False,1,4GmdhiokDVwy5URFX7sh9N
85,6qRpXui3PWubskblkUNUls,237481,False,2,6jWlXtW0TSMWdlClnL707D
86,6qRpXui3PWubskblkUNUls,265933,False,3,0UsVg9eb6Nk4KCXDGtNd6c
87,6qRpXui3PWubskblkUNUls,231765,False,4,1kZxsOwoMxxJeAVF7voJqd
88,6qRpXui3PWubskblkUNUls,233769,False,5,7Ac5hwFligFwVoYxv5y9ux
89,6qRpXui3PWubskblkUNUls,219047,False,6,37ulWXSKvYMZ35IlJnuCpp
90,6qRpXui3PWubskblkUNUls,244189,False,7,34JRiChC820buFv4ujeS3d
91,6qRpXui3PWubskblkUNUls,310771,False,8,1a5pJ0yJRpdEknvNW9hGdV
92,6qRpXui3PWubskblkUNUls,215696,False,9,3relnLQEvb0GZi2QC1p9AX
93,6qRpXui3PWubskblkUNUls,188704,False,10,0OidFPsOhOvnQlUP9SJyii
94,6qRpXui3PWubskblkUNUls,194321,False,11,5KRu3hKiL97YVxgZc0ULCQ
95,6qRpXui3PWubskblkUNUls,281167,False,12,1bxoyTeTlVnQ2CP1cRBcoe
96,6qRpXui3PWubskblkUNUls,234499,False,13,102aCkOJkMzN1rgDMv4RBb
97,6qRpXui3PWubskblkUNUls,278267,False,14,6gykRLr96P2xRlZLzIJHRy
98,2UGwrHVjQHpoNBO15b3JZI,186649,False,1,7j0EHbFZCbzJ84NmIxeJ76
99,2UGwrHVjQHpoNBO15b3JZI,237481,False,2,7p6JEUrzq5Lx5VCOqf8ZAL
100,2UGwrHVjQHpoNBO15b3JZI,265933,False,3,2rLczXE1xoi6NgfVg6yHiL
101,2UGwrHVjQHpoNBO15b3JZI,231765,False,4,1MXSTmXFMTKHSkP6znldhY
102,2UGwrHVjQHpoNBO15b3JZI,233769,False,5,5ZaKuEFox5mjsX3nNcXHPw
103,2UGwrHVjQHpoNBO15b3JZI,219047,False,6,759QP2GOajo9NEcddaS1NF
104,2UGwrHVjQHpoNBO15b3JZI,244189,False,7,5S3eDEcCvV9vlGUvaCMKxR
105,2UGwrHVjQHpoNBO15b3JZI,310771,False,8,7J8h6jIEs29z1zFIcQnDWY
106,2UGwrHVjQHpoNBO15b3JZI,215696,False,9,4hIlPsy9vowFW3j2GZYEgW
107,2UGwrHVjQHpoNBO15b3JZI,188704,False,10,6T74XUDHicGJFmQmRkIYHH
108,2UGwrHVjQHpoNBO15b3JZI,194321,False,11,4r5pr4vZxyxc1eeTQL28c1
109,2UGwrHVjQHpoNBO15b3JZI,281167,False,1,4wpZBySlRHdzyZjHBQIkmn
110,2UGwrHVjQHpoNBO15b3JZI,234499,False,2,0mM1kHstVZZlS6KqNTvDaH
111,2UGwrHVjQHpoNBO15b3JZI,278267,False,3,7fWnIfVAhjecHWUfRsqwQ3
112,08dIf2VIl0WcdvVWGSeKyB,186706,False,1,6UZT7Pa3Wp6HFe7LS6zN9a
113,08dIf2VIl0WcdvVWGSeKyB,237546,False,2,17Zi730TMDQlpCtRIhk5U5
114,08dIf2VIl0WcdvVWGSeKyB,265973,False,3,6QdtIyZGdVmHhTIAsziYZD
115,08dIf2VIl0WcdvVWGSeKyB,231813,False,4,1ZlEXYvjdTDdHCcuoLqvnS
116,08dIf2VIl0WcdvVWGSeKyB,233800,False,5,1vi2LK44J8a3zKOGyn7Ku3
117,08dIf2VIl0WcdvVWGSeKyB,219080,False,6,0DyRIm7QLBSnPyEScVah8q
118,08dIf2VIl0WcdvVWGSeKyB,244240,False,7,711VS0RvcEDJMxfdBmwl1m
119,08dIf2VIl0WcdvVWGSeKyB,310800,False,8,3W91gznEPt6I9GZTU0g2BM
120,08dIf2VIl0WcdvVWGSeKyB,215746,False,9,6J2PaP86egKm5gjfarquFq
121,08dIf2VIl0WcdvVWGSeKyB,188746,False,10,65ecApvWKcfdZmDPTXhC43
122,08dIf2VIl0WcdvVWGSeKyB,194320,False,11,3V44XKaJyLcwTnBmCEx7dY
123,08dIf2VIl0WcdvVWGSeKyB,280320,False,12,5uUALfhm0zeHUlSUulDZM1
124,08dIf2VIl0WcdvVWGSeKyB,234546,False,13,3E6K7QFOvgPWwJxgmOcmBV
