 index ,        artists         ,           id           , marketsize 
    71 , 3wyfo3svXNWnszGAEVey11 , 1icjhNcbUTwBYc3wAdoIxs ,         59 , A Lesson In Crime
    72 , 3wyfo3svXNWnszGAEVey11 , 5diZ4ILztW0uRteIE9SWIl ,          1 , A Lesson In Crime
    73 , 3wyfo3svXNWnszGAEVey11 , 26E6SLKlQ9GeZSmSYWGma8 ,          1 , A Lesson In Crime
    74 , 4zymhxzJ0UJc74tMHGyoWs , 5ecpEl4Hfv5HcGARqGFgNl ,          2 , Irreverence
    75 , 4zymhxzJ0UJc74tMHGyoWs , 4D2icCLhYWyP6DYNhxNzok ,         16 , Irreverence
    76 , 4zymhxzJ0UJc74tMHGyoWs , 6ZXwgwzDnroKH69EyBsLlI ,         34 , Irreverence [Special Edition]
    77 , 4zymhxzJ0UJc74tMHGyoWs , 0Ng43Zyxc20jXtc7cDXX67 ,         59 , No Stopping Us [feat. Foreign Beggars] [Remixes]
    78 , 4zymhxzJ0UJc74tMHGyoWs , 2SYIZyTLCInvtSc9CQWnyK ,         59 , Neckbreaker
    79 , 4zymhxzJ0UJc74tMHGyoWs , 1GoeDPuDQ8II0ZM6ukLvlv ,         59 , Write Your Future Remixes
    80 , 4zymhxzJ0UJc74tMHGyoWs , 50MUSom5pwZxQogv3KJm2f ,         59 , Write Your Future
    81 , 4zymhxzJ0UJc74tMHGyoWs , 7JW8S2x4Dk73lSNakfaEp0 ,         59 , Walk In The Fire
    82 , 4zymhxzJ0UJc74tMHGyoWs , 6wUuNVFxiu69MTwoa50qWP ,         16 , Walk in the Fire
    83 , 4zymhxzJ0UJc74tMHGyoWs , 7InRPq0PYPhTYTBGkSG0Cl ,         16 , Hanging On Me (feat. Liela Moss) [Remixes]
    84 , 4zymhxzJ0UJc74tMHGyoWs , 6sNYJIUQkcrmMx2DQBkchp ,         59 , Hanging on Me (feat. Liela Moss) [Remixes]
    85 , 4zymhxzJ0UJc74tMHGyoWs , 2g7ipfrMH4oPS3hJJvN4HI ,         59 , No Stopping Us [feat. Foreign Beggars]
    86 , 4zymhxzJ0UJc74tMHGyoWs , 3zab7et6F5BS1Zz5eyESpn ,         59 , DIRTY
    87 , 4zymhxzJ0UJc74tMHGyoWs , 20ccUKvZmFcMCgDgRL44C3 ,          8 , Dirty
    88 , 4zymhxzJ0UJc74tMHGyoWs , 3ayf8incUmxoRXg3ss3kcM ,         59 , The Tarantino EP
    89 , 4zymhxzJ0UJc74tMHGyoWs , 5RCiyIm3KmGNXgsMolEOSp ,         59 , Teleportation / Glow
    90 , 4zymhxzJ0UJc74tMHGyoWs , 29TUFI50iMG5eDUALD7vLr ,         59 , Vandals / Lottery
    91 , 4zymhxzJ0UJc74tMHGyoWs , 5e85HxPbfeR9tJeOHRHQgL ,         59 , French Fuck / Bonus Level
    92 , 4zymhxzJ0UJc74tMHGyoWs , 0YrUMVBf5s8EkKB6cTX8cv ,         40 , Dim Mak Greatest Hits 2015: Remixes
    93 , 4zymhxzJ0UJc74tMHGyoWs , 2G69aw92IPMieqg7xBeNQG ,         19 , Dim Mak Greatest Hits 2015: Remixes
    94 , 3yrQJxTTj7xS2deLcXiEM3 , 6ZvzfNJb1o43Zjy6djOCEF ,         59 , Big Dark Love
    95 , 3yrQJxTTj7xS2deLcXiEM3 , 46zFpVYLRFMjmO06oPDug3 ,         59 , Big Dark Love
    96 , 3yrQJxTTj7xS2deLcXiEM3 , 4oM5TIRUb8o809GKIkgg3x ,         59 , Bitter Drink, Bitter Moon
    97 , 3yrQJxTTj7xS2deLcXiEM3 , 4oWURGaQQdUflbYhnqHThT ,          1 , Good Morning, Magpie
    98 , 3yrQJxTTj7xS2deLcXiEM3 , 4H9zv7r0PgFZiiXAD5pT8Y ,          1 , Good Morning, Magpie
    99 , 3yrQJxTTj7xS2deLcXiEM3 , 2WXPAiey31XjT4TiNV8Aec ,         32 , Good Morning, Magpie
   100 , 3yrQJxTTj7xS2deLcXiEM3 , 0yuaoFIyhHMcaSTAUgWrAY ,         59 , Finch
   101 , 3yrQJxTTj7xS2deLcXiEM3 , 7BtIcsyJa84UMYQ5XmFwNi ,          1 , Red Of Tooth And Claw
   102 , 3yrQJxTTj7xS2deLcXiEM3 , 7M4ufT8HSnsL1Sair1oIMl ,          2 , Red Of Tooth And Claw
   103 , 3yrQJxTTj7xS2deLcXiEM3 , 615opUK4xn4V9ZUw1qPICi ,         23 , Red Of Tooth And Claw
   104 , 3yrQJxTTj7xS2deLcXiEM3 , 5gNYiD8eUP7McN6eCGqIff ,         59 , Like the Exorcist, but More Breakdancing
   105 , 3yrQJxTTj7xS2deLcXiEM3 , 7Mg72X4uTsmzb0DJWnBTpB ,         56 , Like the Exorcist But More Like Breakdancing
   106 , 3yrQJxTTj7xS2deLcXiEM3 , 5YFakrXjTR3bpwrQKMT4Dw ,          1 , In Bocca Al Lupo
   107 , 3yrQJxTTj7xS2deLcXiEM3 , 1KLItHfpQCp5xmdXRFuB6d ,         48 , In Bocca Al Lupo
   108 , 3yrQJxTTj7xS2deLcXiEM3 , 6dLsssMQLjzWPr668rkpaP ,         59 , Who Will Survive, and What Will Be Left of Them?
   109 , 3yrQJxTTj7xS2deLcXiEM3 , 2jy1FKOi32rAG7KtjlAjqD ,         56 , Who Will Survive and What Will Be Left of Them
   110 , 3yrQJxTTj7xS2deLcXiEM3 , 41SXFRwxjV88LDA24dnbnz ,         59 , Murder By Death On Audiotree Live
   111 , 3yrQJxTTj7xS2deLcXiEM3 , 6QhK0GyfChSZTDGkeRiWv2 ,         59 , Strange Eyes
   112 , 3yrQJxTTj7xS2deLcXiEM3 , 6klObpBXAoILkzdlv6vPWY ,          1 , Fuego! EP
   113 , 3yrQJxTTj7xS2deLcXiEM3 , 4uVkOXDYMWzRwB2h0h1XhA ,          1 , Fuego! EP
   114 , 5VsOThWOagH8C8gCvIy13k , 6YYwtH2IcuT65Jp3pBwVDQ ,         30 , Lost in New York
   115 , 5VsOThWOagH8C8gCvIy13k , 4nipLqikLaHZEfJaiE1esZ ,         18 , Lost in New York
   116 , 5VsOThWOagH8C8gCvIy13k , 468CKKWQLT0ZX905tT1DLt ,          1 , Lost In New York
   117 , 5VsOThWOagH8C8gCvIy13k , 0y4P9ebEsLjb5AfIYjAGgu ,          2 , Lost In New York
   118 , 5VsOThWOagH8C8gCvIy13k , 0TGRiYiLWLXrjvbfQqE7oo ,          1 , Penguin Prison
   119 , 5VsOThWOagH8C8gCvIy13k , 4YEZzaJ624gTeCVwBJPu4Y ,         29 , Penguin Prison
   120 , 5VsOThWOagH8C8gCvIy13k , 3HPv6F0Nl1qeYEamUGHK3u ,          1 , Penguin Prison
   121 , 5VsOThWOagH8C8gCvIy13k , 1FlUXCMKNeaQnHC3FxzSRt ,          1 , Penguin Prison
